"","year","rec","rec_lci","rec_uci","TB","TB_lci","TB_uci","SB","SB_lci","SB_uci"
"1",1961,10135,339,51028,113457,86246,157686,48800,33967,69855
"2",1962,16668,423,61300,111627,86439,154891,47563,33846,67825
"3",1963,16690,449,54638,107891,84254,149793,45279,32414,64422
"4",1964,8837,316,41462,100998,78324,141069,41436,29126,59928
"5",1965,7180,275,30490,88822,67352,125831,35111,23449,52723
"6",1966,7809,331,30081,70975,51511,103797,26216,15542,41987
"7",1967,9214,362,35166,62325,44173,93073,21632,11865,36007
"8",1968,11267,376,38877,58400,41081,87736,19371,10196,33060
"9",1969,12760,417,47840,55777,38767,84622,17934,9700,30739
"10",1970,24114,472,57378,55166,38147,83351,17417,9720,29579
"11",1971,13148,452,75581,56368,39485,84176,17676,10215,29495
"12",1972,49855,460,94313,57318,40222,85518,17331,10166,28794
"13",1973,20292,559,79069,59233,41268,87688,16932,10035,28016
"14",1974,12500,458,53776,62910,43756,92089,16960,10164,27900
"15",1975,23739,556,54779,67466,46902,97975,17200,10437,27904
"16",1976,12416,478,54744,72126,50335,104084,17699,10804,28326
"17",1977,32274,661,77258,77427,53832,110900,18693,11527,29278
"18",1978,49732,2496,120369,85361,59858,120945,20833,13250,31897
"19",1979,41714,1177,95466,94403,66987,132393,23579,15343,35347
"20",1980,20060,606,61950,103813,74237,144352,26791,17863,39402
"21",1981,13996,486,49532,113037,81191,156218,30258,20553,43747
"22",1982,24773,1048,60893,121368,87496,166891,33519,22932,48107
"23",1983,26037,856,75909,126835,90951,175095,35696,24531,51142
"24",1984,41620,1522,84202,132697,94755,183053,37976,25907,54574
"25",1985,19004,500,62723,140897,100685,193965,41549,28606,59025
"26",1986,55895,15573,103742,150546,108021,207017,45830,31917,64526
"27",1987,28378,1172,61596,160222,115247,219610,50354,35291,70318
"28",1988,13598,625,39227,169257,121959,231099,54727,38685,75584
"29",1989,17419,1311,41095,176965,127878,241177,58497,41634,80858
"30",1990,20038,1982,41327,183363,132406,249859,61707,44001,84929
"31",1991,9053,397,26539,188301,135732,256542,64644,46029,88942
"32",1992,17673,3795,35904,189257,135270,258497,66384,46978,91322
"33",1993,12085,932,28483,185776,130896,255982,66807,46513,92536
"34",1994,11405,1328,25259,184230,128975,254520,68404,47332,95320
"35",1995,8614,480,21948,180504,125114,250586,69222,47437,96375
"36",1996,45137,24200,77112,177276,121614,248164,69600,47312,97275
"37",1997,29976,7608,57803,176670,120390,248855,70290,47479,98378
"38",1998,17528,1484,43161,176720,119855,249635,70508,47291,99126
"39",1999,20372,2193,42476,176899,119129,251018,70142,46864,98919
"40",2000,32575,14009,63194,175241,116349,250425,68341,45033,97366
"41",2001,12876,1216,29203,175722,115770,252280,67316,44024,96698
"42",2002,8729,811,22894,176119,114908,253843,66426,43117,95802
"43",2003,10867,2115,24160,175810,113796,254453,65731,42213,95340
"44",2004,4492,346,11573,172759,110311,251774,64659,40923,94723
"45",2005,2036,159,6328,169190,106595,248878,64219,39943,94785
"46",2006,2249,183,6812,164891,102307,244790,64132,39270,95501
"47",2007,3861,421,10069,159214,97176,238225,63829,38446,95920
"48",2008,3134,264,10197,153488,92038,231696,63622,37804,96459
"49",2009,4164,331,12621,147258,86712,224715,63057,36825,96656
"50",2010,5712,471,15929,140715,81078,216482,61980,35529,95669
"51",2011,3915,229,13760,133938,75531,208275,60306,33757,93812
"52",2012,4115,225,16791,127479,70625,199903,58260,32028,91471
"53",2013,5114,226,22791,119393,63957,190234,54960,29330,87600
"54",2014,6428,270,30588,111684,57713,180277,51432,26523,83336
"55",2015,7351,264,41327,104863,52129,171654,48039,23721,78860
"56",2016,8390,274,57263,98752,47281,163853,44789,21160,74782
"57",2017,8936,290,66174,93581,43249,157501,41861,18898,70935
"58",2018,9922,315,113431,90466,41136,154080,39819,17516,67943
"59",2019,16326,369,87719,87375,38826,151304,36363,15521,62584
"60",2020,16326,408,95568,84210,38294,148593,34021,14631,58010
