"tot_biom","sp_biom","F","recruits"
111459,47896.7,0.00833262,9.99399
109660,46687.6,0.034539,16.4433
105939,44428.8,0.0778892,16.3743
99066,40610.1,0.16166,8.6518
86918.7,34309.7,0.302018,7.00978
69115,25445.2,0.211757,7.59828
60474.6,20883.9,0.142184,8.93199
56537.2,18638.4,0.125775,10.8844
53881.8,17211.8,0.0918213,12.35
53187.3,16699.1,0.0559724,23.0778
54295,16955.9,0.0977717,12.8556
55041.7,16602.9,0.102276,47.7635
56742.6,16187.7,0.0763075,19.6755
60205.7,16191.9,0.0687952,12.1209
64523.6,16398.7,0.0660078,22.8275
68960.4,16851.7,0.0557958,12.1244
74015.6,17782.7,0.0138495,31.6377
81673.3,19841.8,0.0103383,48.9027
90430.2,22483.2,0.0107043,40.6847
99613,25573.2,0.0116593,19.9228
108661,28907.4,0.0197515,13.9441
116845,32036.5,0.0498253,24.5597
122203,34091.7,0.0437408,26.1286
127926,36264,0.0109899,40.0023
136005,39743.2,0.0018024,18.082
145452,43940.8,0.00219404,54.421
154937,48391.2,0.00401612,27.8765
163815,52702.8,0.00878521,13.4768
171397,56424.5,0.0115844,17.5063
177703,59597.1,0.012395,20.0649
182592,62493.7,0.0312951,8.78711
183518,64178,0.0522974,17.2146
180036,64523.5,0.0318072,12.0241
178511,66039.5,0.0389892,11.1792
174825,66786.6,0.0372565,8.41926
171553,67119.7,0.0223525,43.2311
170887,67796.1,0.0197947,29.2726
170892,68025,0.0208546,17.6793
171025,67687.5,0.0376985,19.5367
169305,65915.3,0.0239439,32.2122
169776,64918.8,0.0229244,13.1616
170229,64048.1,0.0244008,9.58062
170026,63355.1,0.0378263,11.1033
167162,62268.5,0.0345792,5.34017
163840,61808.7,0.0326246,2.57806
159828,61704.8,0.0358323,2.56134
154463,61403.8,0.0304557,4.04232
149072,61226.3,0.0299791,3.8847
143204,60727,0.0300616,5.11014
137004,59751.5,0.0307825,5.18445
130564,58214,0.0284637,4.05614
124414,56326.7,0.0444654,4.09844
116558,53199,0.0459012,3.44627
108964,49843.1,0.0432001,4.36913
102128,46616,0.0425771,5.44306
95890.7,43524.6,0.0395423,7.31434
90480.9,40737,0.0223653,7.1039
87033.4,38799.3,0.0302147,8.50031
83444.1,36696.9,0.0373225,8.86815
79908.3,34502.9,0.0377592,9.73727
