"","year","t","sd"
"1",1987,115306.102,13329.04502
"2",1990,98180.77735,14269.43116
"3",1993,104999.6116,16428.74179
"4",1996,165084.0477,43604.5243
"5",1999,111133.4018,15931.50255
"6",2001,250540.4547,34023.63045
"7",2003,117413.291,25482.97897
"8",2005,303549.8485,47957.15351
"9",2007,187253.798,28353.40372
"10",2009,94538.6904,21488.54157
"11",2011,158051.8559,30596.76004
"12",2013,284647.8444,65086.89749
"13",2015,94635.09802,18325.10159
"14",2017,201126.3552,44916.35244
"15",2019,120889.8015,23447.51604
"16",2021,81429.95789,11967.80092
