"year","biomass","se","lci","uci","pred"
1984,50171,6748,36944.92,63397.08,70500.8
1987,116329,14090,88712.6,143945.4,93116.1
1990,95278,13956,67924.24,122631.76,111487
1993,104745,15350,74659,134831,121970
1996,173517,35139,104644.56,242389.44,126032
1999,155470,39048,78935.92,232004.08,126061
2001,253699,35427,184262.08,323135.92,122466
2003,107258,18339,71313.56,143202.44,122394
2005,231375,29210,174123.4,288626.6,122483
2007,199952,30692,139795.68,260108.32,122724
2009,83554,10777,62431.08,104676.92,121112
2011,155298,31474,93608.96,216987.04,115677
2013,379280,90030,202821.2,555738.8,106390
2015,118138,32069,55282.76,180993.24,95246.7
2017,175808,28603,119746.12,231869.88,85490.1
2019,108305,16604,75761.16,140848.84,78456.2
2021,77565,12150,53751,101379,71191
