"yrs","ages","styr_rec"
1961,2,1913
1962,3,NA
1963,4,NA
1964,5,NA
1965,6,NA
1966,7,NA
1967,8,NA
1968,9,NA
1969,10,NA
1970,11,NA
1971,12,NA
1972,13,NA
1973,14,NA
1974,15,NA
1975,16,NA
1976,17,NA
1977,18,NA
1978,19,NA
1979,20,NA
1980,21,NA
1981,22,NA
1982,23,NA
1983,24,NA
1984,25,NA
1985,26,NA
1986,27,NA
1987,28,NA
1988,29,NA
1989,30,NA
1990,31,NA
1991,32,NA
1992,33,NA
1993,34,NA
1994,35,NA
1995,36,NA
1996,37,NA
1997,38,NA
1998,39,NA
1999,40,NA
2000,41,NA
2001,42,NA
2002,43,NA
2003,44,NA
2004,45,NA
2005,46,NA
2006,47,NA
2007,48,NA
2008,49,NA
2009,50,NA
2010,51,NA
2011,NA,NA
2012,NA,NA
2013,NA,NA
2014,NA,NA
2015,NA,NA
2016,NA,NA
2017,NA,NA
2018,NA,NA
2019,NA,NA
2020,NA,NA
2021,NA,NA
2022,NA,NA
