item,y1,y2,y3,y4
M (natural mortality),0.059,0.059,0.059,0.059
Tier,3a,3a,3a,3a
Projected total (age 2+) biomass (t) ,100371,96045,95452,93022
Projected female spawning biomass (t),40474,37408,39445,37470
B100%,84832,84832,82350,82350
B40%,33933,33933,32940,32940
B35%,29691,29691,28822,28822
FOFL,0.073,0.073,0.074,0.074
maxFABC,0.061,0.061,0.061,0.061
FABC,0.061,0.061,0.061,0.061
OFL (t),6143,5874,5927,5661
maxABC (t),5147,4921,4965,4742
ABC (t),5147,4921,4965,4742
blank,NA,NA,NA,NA
Status,2020,2021,2021,2022
Overfishing,NA,NA,NA,NA
Overfished,NA,NA,NA,NA
Approaching overfished,NA,NA,NA,NA
