survey,year,species_code,haul_count,catch_count,mean_wgt_cpue,var_wgt_cpue,mean_num_cpue,var_num_cpue,total_biomass,biomass_var,min_biomass,max_biomass,total_pop,pop_var,min_pop,max_pop,akfin_load_date
GOA,1999,30152,764,89,155.08399362830346,3597.5674947498223,104.7862473019333,1373.3480853032024,49628.1,368405764.6731576,9820,89436,33532792,140636514052039.27,8937171,58128413,2022-09-21T09:31:57Z
GOA,2021,30152,529,95,347.1564492597665,29624.400440180452,206.98055770454653,9354.507370932164,107069.3,2817886813.3400803,0,215466,63838053,889805112480506.4,2926007,124750099,2022-09-21T09:31:57Z
GOA,2019,30152,541,120,286.514835277937,3941.4519497587057,208.68921454745765,2206.0622687535906,88364.9,374912751.2999197,49233,127497,64364977,209841673895830.5,35088947,93641007,2022-09-21T09:31:57Z
GOA,2005,30152,837,140,532.8355574616213,26058.72773362804,386.0846840112608,14347.656302767418,170512.8,2668521308.1136255,68230,272795,123549818,1469259242308184.8,47654601,199445035,2022-09-21T09:31:57Z
GOA,2017,30152,536,101,166.2406850908433,1770.8525534858513,122.93431417459705,1022.095497067831,51270.2,168444322.40624255,25313,77227,37916462,97222201305896.6,18196198,57636726,2022-09-21T09:31:57Z
GOA,2009,30152,823,113,225.38585726198377,5951.611630932978,146.47252514387594,2129.1672586868626,72122.8,609469603.3170595,17786,126460,46873651,218035517943251.78,14373628,79373674,2022-09-21T09:31:57Z
GOA,2007,30152,816,126,228.35108764697998,11621.798848457043,158.30024221699205,5800.385114790118,73073.7,1190120184.7892447,2629,143519,50659827,593983383697893.75,892664,100426990,2022-09-21T09:31:57Z
GOA,1993,30150,774,132,196.62899718447352,3286.481315019614,192.7762805584883,5458.595672222471,57745.9,283420156.17443,23722,91770,56610820,470739337796943.3,12762136,100459504,2022-09-21T09:31:57Z
GOA,1987,30150,783,226,297.28363487773817,8601.078138005005,268.21837030163783,8558.732889648556,94212.2,863837725.1103891,33784,154640,85003029,859584836993045,24723829,145282229,2022-09-21T09:31:57Z
GOA,2003,30152,809,115,229.74325427512915,12405.868704786868,200.73136776741543,14164.383462677273,70856.1,1180052028.4566596,1431,140281,61907936,1347322773980416.3,0,136090551,2022-09-21T09:31:57Z
GOA,2001,30152,489,70,140.56896885872493,1769.7202181165674,123.74330573859366,1663.0984718632048,31003.6,86098076.03700426,12446,49561,27292357,80910856541998.45,9302265,45282449,2022-09-21T09:31:57Z
GOA,1984,30150,929,204,82.13860061621287,357.09344566297545,74.14405924761546,261.7933551492133,25648.4,34817476.67995663,13847,37450,23151827,25525486811869.56,13047276,33256378,2022-09-21T09:31:57Z
GOA,2011,30152,670,87,270.4367038166774,14241.627883270521,185.0179302081874,6775.315356194271,83406.9,1354670299.363532,7072,159742,57061315,644471162783272.5,4409846,109712784,2022-09-21T09:31:57Z
GOA,1996,30152,807,110,248.10124279762607,11974.576081975674,162.2071231053302,4843.32622008753,74480.2,1079219000.7319956,8087,140873,48694670,436508954277698.2,6470328,90919012,2022-09-21T09:31:57Z
GOA,2015,30152,771,115,102.4671621813649,604.8764449873119,66.07773264420848,225.91257188971673,32790,61941845.30895875,17049,48531,21145153,23134380082589.242,11525511,30764795,2022-09-21T09:31:57Z
GOA,1990,30150,708,110,91.35081080676683,864.5410906223519,60.932007783619646,325.5362182423842,26827,74556447.28713045,9074,44580,17894079,28073649892069.82,7000451,28787707,2022-09-21T09:31:57Z
GOA,1990,30152,708,3,0.23217389830906832,0.017834083018689835,0.14253487308408733,0.006612677578615179,68.1,1537.9788016091786,0,148,42011,570265257.0994704,0,90846,2022-09-21T09:31:57Z
GOA,2013,30152,548,88,321.53586242145843,13448.7074464147,203.04176644924544,5374.546673783567,99169.8,1279247336.8784132,19482,178858,62620361,511229391133738.3,12244429,112996293,2022-09-21T09:31:57Z
