"year","biomass","pred","se","lci","uci"
1990,108220,151628,18405,72146.2,144293.8
1993,104147,165508,16069,72651.76,135642.24
1996,171359,171152,43735,85638.4,257079.6
1999,113873,171143,17052,80451.08,147294.92
2001,246060,166239,34316,178800.64,313319.36
2003,116170,165788,24772,67616.88,164723.12
2005,299780,165470,52376,197123.04,402436.96
2007,190206,165413,27808,135702.32,244709.68
2009,108760,163008,30927,48143.08,169376.92
2011,165460,155567,38699,89609.96,241310.04
2013,262513,143023,51139,162280.56,362745.44
2015,96378,127966,18017,61064.68,131691.32
2017,220873,114674,60191,102898.64,338847.36
2019,128330,104981,29774,69972.96,186687.04
2021,81296,94985.4,12478,56839.12,105752.88
